"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","ea519105b43d50a3ca3cba627a755510",434.61112,360,640,86.13933,1550.50787,0.46571,1,1,0.47223,0.47223,120.57099,9870.58025,-0.02597
"f","1b5f967569dc228c1f5ba7e2bc1f526a",784.2963,360,640,145.05876,7833.17278,0.3039,1,1,6.34035,6.34035,329.61729,2056.87106,-0.70504
"f","48e06318776abcebfed529fe58ad2fcf",713.54762,360,720,152.87122,6420.5912,0.43348,0.00972,0,0,0,18060.35658,13762.02325,0.104
"f","8d3933d1a04dc4fb821ed0340b1063a8",244.5125,360,640,97.40502,7792.40103,0.37222,1,0,9.56775,9.56775,416.24438,1156.3961,-0.68962
"f","ea519105b43d50a3ca3cba627a755510",196.75,360,640,98.21185,392.84739,0.51416,1,1,0.5,0.5,149.1875,17.1875,0.04814
"f","9c960c8e28004bd5a05eefd2a29f1dfe",324.85715,360,640,44.77327,313.41284,0.21377,1,0,0.60715,0.60715,130.53062,212.2449,0.19765
"f","3183f6f7626d168628851a35bd2de577",788.38889,320,570,252.5997,4546.79447,0.32902,1,0,1.53455,1.53455,260.71914,2212.64507,0.30738
"f","a1a857b5b06e372f9c815718ac340077",284,360,640,183.12248,366.24495,0.72017,1,0,0.5,0.5,1,36,1
"f","8d3933d1a04dc4fb821ed0340b1063a8",202.85394,360,640,79.89202,7110.38916,0.34152,1,0,6.53786,6.53786,628.41889,4744.9312,-0.19667
"f","a50630ad13dabcc379970a5080d735b7",1483.27778,360,640,91.65239,1649.74287,0.17254,1,0,0,0,471.64507,625.46914,-0.65276
"f","d61cb825f28bc0b4c1364b3d063b3ac5",230.41667,360,780,78.53783,942.45393,0.41915,0.05916,0,0,0,4738.05556,4929.40973,0.87683
"f","ca447ef6847a8593a4530b41066d365e",497.66667,360,640,120.31915,2165.74459,0.31076,1,0,12.49097,12.49097,836.76544,2763.47223,-0.30005
