"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","8d3933d1a04dc4fb821ed0340b1063a8",1826.33334,360,640,312.24179,14987.60581,0.21237,1,0,0,0,1463.57639,1058.62457,0.02895
"f","8d3933d1a04dc4fb821ed0340b1063a8",0,360,640,175.3853,350.77059,0,1,0,11.987,11.987,0,0,nan
"f","0703d9e1462f9de372465d6e32e8a27d",286.14286,360,640,309.16461,2164.15227,0.18376,1,0,2.04762,2.04762,201.06123,1011.67347,-0.01737
"f","8d3933d1a04dc4fb821ed0340b1063a8",422.70589,360,640,69.24941,2354.47993,0.19309,1,0,7.47719,7.47719,112.26644,790.36765,0.46763
"f","0703d9e1462f9de372465d6e32e8a27d",598.6,360,640,191.84243,1918.42424,0.44947,1,0,2.40001,2.40001,269.04001,1411.96001,0.05043
"f","48e06318776abcebfed529fe58ad2fcf",468.15385,360,720,174.49944,9073.97063,0.37924,0.01177,0,0,0,5808.58987,11065.57804,0.10432
"f","3183f6f7626d168628851a35bd2de577",544.05556,320,570,150.41571,2707.48275,0.2833,1,0,0.3328,0.3328,2638.44445,2280.46914,0.343
"f","8d3933d1a04dc4fb821ed0340b1063a8",1992.81482,360,640,121.68101,3285.38708,0.10092,1,0,4.61537,4.61537,16.17284,124.91633,-0.37428
"f","58cda9784e306b50aebf68c79eab7414",385.54546,360,640,219.70819,2416.79006,0.59513,1,0,0,0,629.1405,2356.23141,-0.00772
"f","ca447ef6847a8593a4530b41066d365e",206.22858,360,640,28.43449,995.20697,0.15478,1,0,5.34376,5.34376,86.38694,514.30205,-0.72569
"f","8c47753e45070e4943f563a1d0ab5c1d",1084.27778,360,640,125.07119,2251.28137,0.17308,1,0,1.0128,1.30415,2775.80247,3403.60803,0.70616
"f","0703d9e1462f9de372465d6e32e8a27d",1005.41667,360,640,149.74614,1796.95357,0.31443,1,0,4.05556,4.05556,522.13889,1615.74306,-0.49393
"f","f396ec80b60ca6a34d854a4ec2a534b6",302.3,360,640,301.47347,3014.73463,1.74914,1,1,4.99459,4.99459,253.69001,17697.21,-0.78932
"f","e45faa6a06163a79f892886141473993",798.3125,320,570,253.16375,4050.61999,0.32443,1,0,0.3328,0.3328,257.08985,434.73438,0.24035
"f","8d3933d1a04dc4fb821ed0340b1063a8",166.5,360,640,106.45312,212.90624,0.65771,1,0,17.35617,17.35617,380.25,1936,1
"f","10ee042a14d0a9cc413e2412fad579c9",530.16667,412,732,276.57827,1659.46958,0.61031,1,0,0.57143,0.60318,213.22223,1747.13889,-0.22764
"f","e2731596e61e854d401fbeabdec5bf54",61.16667,600,1024,57.77387,346.64318,0.48338,1,1,0.49935,0.49935,4089.91667,6716.55556,0.43562
"f","8d3933d1a04dc4fb821ed0340b1063a8",215,360,640,314.84123,314.84123,1.46438,1,0,14.73402,14.73402,0,0,nan
"f","9c960c8e28004bd5a05eefd2a29f1dfe",274.5,360,640,122.87342,491.49367,0.45,1,0,0.5625,0.5625,369,158.1875,0.22662
"f","e45faa6a06163a79f892886141473993",117.33334,320,570,72.35123,217.05369,0.14115,1,0,0.3328,0.3328,373.55556,7280.22223,1
"f","ec02d0941d97ca01afe6dcde001f02c1",1185.25,320,534,53.74492,214.97965,0.22962,1,0,2.16667,2.16667,62,158.1875,-0.02019
"f","9c960c8e28004bd5a05eefd2a29f1dfe",684.4,360,640,71.04649,710.46485,0.05344,1,1,0.575,0.575,25.85,2185.49,-0.73479
